No.,Material Code,Material Name,Spec,Unit,Quantity
0,D050-MG,JADE Plus (Dark Gray Anodized Metal Shell),,,
1,3.AC.019.0014,R333 Packaging Box,,PCS,1
2,3.AC.048.0011,PE Foam 36×28×10mm (White),,PCS,1
3,3.ED.002.0048,IC SRV05-4-P-T7 SOT-23-6,,PCS,1
4,3.ED.002.0227,IC STM32G030F6P6 TSSOP-20,,PCS,1
5,3.ED.002.0253,IC JW5712WLCSPC#TR WLCSP1.575x0.875-8,,PCS,1
6,3.ED.002.0264,IC AW99703CSR WLCSP-12-B,,PCS,1
7,3.ED.002.0266,IC AW32257FCR FCQFN-20L(2x2),,PCS,1
8,3.ED.002.0279,IC ESP32-S3-PICO-1-N8R8 LGA56(7*7),,PCS,1
9,3.ED.002.0294,IC SGM7220XUQT12G/TR UTQFEN-1.6*1.6-12L,,PCS,1
10,3.ED.005.0017,SMD LED 0603 Green,,PCS,1
11,3.ED.006.0741,PCB JADE Plus v0.3.1,1mm/Matte Black/Immersion Gold/4-Layer,PCS,1
12,3.ED.011.0007,"USB Type-C Socket, 1.0mm Pins, Short with Spring (Rated 10,000 insertions at 110%)",,PCS,1
13,3.ED.012.0003,SMT Button 3x4x2.5-SWC (2-pin),,PCS,1
14,3.ED.012.0004,SMT Side-Press Button with Positioning Pillar (4-pin),,PCS,3
15,3.ED.017.0132,Connector 0.5mm Pitch 18P Horizontal Mount,FH34SRJ-18S-0.5SH(50),PCS,1
16,3.ED.017.0143,Connector 0.5mm Pitch 16P Horizontal Mount,FH34SRJ-16S-0.5SH(50),PCS,1
17,3.ED.020.0024,Ferrite Bead B0603 600R@100MHz 2A 10mR,YI160808U601-2R0T,PCS,2
18,3.ED.020.0026,Ferrite Bead B0201 60R@5GHz ±40% 65mR 1.2A,BLF03VK600SNLD,PCS,1
19,3.ED.021.0098,Chip Inductor L0806 10uH ±20% 800mA,WPN201610H100MT,PCS,1
20,3.ED.021.0106,Power Inductor L201610 1uH ±20% 4.6A 42mR,MWTC201610S1R0MT,PCS,1
21,3.ED.021.0115,Power Inductor L0806 2.2uH ±20% 2.3A 134mR,MWTC201608S2R2MT,PCS,1
22,3.ED.021.0116,Common Mode Filter 2K@100MHz 150mA SMD-4P,ACM2012-202-2P-T002,PCS,1
23,3.ED.021.0117,Chip Inductor L0201 2nH ±0.1nH 600mA,LQP03TN2N0B02D,PCS,3
24,3.ED.024.0037,SMD Capacitor C0402 100nF(104) ±10% 50V X7R,,PCS,1
25,3.ED.024.0115,SMD Capacitor C0402 10uF(106) ±20% 10V X5R,,PCS,8
26,3.ED.024.0188,SMD Capacitor C0402 1uF(105) ±10% 50V X5R,,PCS,10
27,3.ED.024.0196,SMD Capacitor C0201 1uF(105) ±10% 10V X5R,,PCS,4
28,3.ED.024.0197,SMD Capacitor C0201 100nF(104) ±10% 25V X5R,,PCS,10
29,3.ED.024.0198,SMD Capacitor C0201 1nF(102) ±10% 50V X7R,,PCS,1
30,3.ED.024.0214,SMD Capacitor C0402 4.7uF(475) ±20% 25V X5R,,PCS,3
31,3.ED.028.0008,SMD Resistor R0402 10K(1002) ±1% 1/16W,,PCS,12
32,3.ED.028.0034,SMD Resistor R0402 22R(220) ±1% 1/16W,,PCS,1
33,3.ED.028.0107,SMD Resistor R0402 3.3K(332) ±1% 1/16W,,PCS,2
34,3.ED.028.0207,SMD Resistor R0402 2.7K ±1% 1/16W,,PCS,2
35,3.ED.028.0226,SMD Resistor R0402 51R(510) ±1% 1/16W,,PCS,1
36,3.ED.028.0229,SMD Resistor R0402 2.2K(222) ±1% 1/16W,,PCS,6
37,3.ED.028.0243,SMD Resistor R0402 100k(104) ±1% 1/16W,,PCS,2
38,3.ED.028.0323,SMD Resistor R0402 470R(471) ±1% 1/16W,,PCS,1
39,3.ED.028.0333,SMD Resistor R0402 220R(2200) ±1% 1/16W,,PCS,2
40,3.ED.028.0346,SMD Resistor R0402 499R(4990) ±1% 1/16W,,PCS,1
41,3.ED.028.0467,SMD Resistor R0402 866K ±1% 62.5mW Thick Film,,PCS,1
42,3.ED.028.0478,SMD Resistor R0201 0R ±1% 50mW Thick Film,,PCS,2
43,3.ED.028.0493,Resistor R0603 100mR ±1% 100mW (YAGEO),RL0603FR-070R1L,PCS,1
44,3.ED.031.0001,Diode (Self-supplied) KPESD3V3S1UB SOD-523,,PCS,3
45,3.ED.031.0029,TVS Diode LESD3Z5.0CMT1G SOD-323,"VRWM=5V,Vc=11.6V,Ipp=9.4A",PCS,1
46,3.ED.031.0101,Diode B0530WS SE SOD-323,,PCS,1
47,3.ED.052.0007,"EMI Clip 6.5mm×1.21mm (White, Brand: ICT)",ICSRC6508SFR,PCS,1
48,3.ED.056.0044,Antenna H0920 WIFI PIFA 3D,,PCS,1
49,3.ED.071.0025,LDO SSP7615-33DFR DFN-4(1x1),,PCS,1
50,3.ED.072.0037,MOSFET CJ3139K P-channel SOT-723,,PCS,1
